HashFunction,Day,Minute,NumInvocations
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,0,1
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,1,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,2,3
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,3,1
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,4,3
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,5,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,6,1
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,7,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,8,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,9,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,10,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,11,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,12,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,13,3
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,14,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,15,1
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,16,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,17,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,18,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,19,3
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,20,1
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,21,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,22,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,23,3
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,24,1
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,25,2
a3a36e205b11f1d7708058af16237c0634832db061d73a7be28c936fc3125855,1,26,2
